rowname,wt-ccl4-1,wt-ccl4-2,wt-ccl4-3,wt-ccl4-4,wt-ccl4-5,wt-untreated-1,wt-untreated-2,wt-untreated-3,wt-untreated-4,wt-untreated-5,yaptaz-ccl4-1,yaptaz-ccl4-2,yaptaz-ccl4-3,yaptaz-untreated-1,yaptaz-untreated-2,yaptaz-untreated-3,yaptaz-untreated-4,mgi_symbol
ENSMUSG00000030559,1.24076,1.5045,1.40739,1.7095,1.18717,0.305221,0.458472,0.567445,1.16573,0.334937,1.04381,1.25306,0.493236,0.29639,1.04592,0.658053,0.517947,Rab38
ENSMUSG00000030560,41.21914,46.65054,34.10857,29.821452999999998,43.091300000000004,27.517981999999996,25.305381,33.445161,23.34132,12.091279,33.71534400000001,46.36936899999999,76.67918800000001,43.663711,17.754238,26.16847,30.95674,Ctsc
ENSMUSG00000030562,11.5656623,17.480419,15.5955555,12.251053,11.934922,11.326241,10.28715,11.474723000000001,8.7566796,4.4349687,8.674637,4.960668,1.5919699999999999,11.543954,9.798165000000001,6.602295600000001,7.580357,Nox4
ENSMUSG00000030577,0.121863,0.0446031,0.108071,0.0333362,0.124396,0.164928,0.0668067,0.0215622,0.117718,0.0796168,0.166369,0.310193,1.793078,0.121727,0.0582279,0.0129058,0.082108,Cd22
ENSMUSG00000030579,0.789926,3.72459,0.469441,8.23341,2.72287,0.0,0.321699,0.0,1.88094,0.19588,9.31824,17.6564,250.285,0.259897,0.0,0.0,0.805526,Tyrobp
ENSMUSG00000030583,4.544778999999999,2.8586086,5.9749152,3.2634188,3.187173,1.6584299999999998,2.4056450000000003,1.0375856,7.2072339,1.7856544400000003,4.3858658,3.9546439999999996,2.970832,9.108532,1.7263402,1.4950519,5.4877,Sipa1l3
ENSMUSG00000030584,0.292905,0.130273,0.352983,0.6940040000000001,0.6464202,0.0424996,0.731129,0.228031,0.324726,1.193698,2.4121267,2.98878,1.174604,0.365351,0.474462,0.121689,0.48353199999999996,Dpf1
ENSMUSG00000030587,26.25056,36.07449,17.18542,39.63648,32.98595,25.83458,32.84011,20.37975,25.56804,21.59746,17.90545,21.19975,16.77019,7.179034,13.230770000000001,16.44876,10.23846,2200002D01Rik
ENSMUSG00000030588,29.507419999999996,36.50699,24.900840000000002,41.85489,33.38031,21.489649999999997,15.30277,22.30399,26.230507999999997,19.99458,40.28789,42.638490000000004,19.150009999999998,35.34703,21.42293,28.78218,25.431289999999997,Yif1b
ENSMUSG00000030589,0.0412477,0.0,0.09603149999999999,0.3707176,0.0796828,0.0223658,0.0331517,0.0262965,0.046215,0.0412079,0.105224,0.0307648,0.25434840000000003,0.0259031,0.030493,0.0,0.102286,Rasgrp4
ENSMUSG00000030590,8.308627000000001,4.832451,4.344658,5.797812,5.765197,8.299296,8.839509,4.497349,9.273585,5.731453,4.045116,5.753824,6.46539,11.951567,6.6148352,5.825006999999999,5.313534000000001,Fam98c
ENSMUSG00000030591,75.923,100.91,68.374515,97.6516,74.37,47.5272,44.990357,55.2322,61.53052,40.5065,81.1497,99.4593,57.547,72.1463,47.2798,62.819086,60.9541,Psmd8
ENSMUSG00000030592,0.0,0.0,0.0,0.0,0.00314344,0.0,0.0,0.0,0.0,0.00995306,0.0,0.0105397,0.0241473,0.0,0.0,0.0,0.0,Ryr1
ENSMUSG00000030595,16.3513,16.5718,11.488493,21.0690756,18.2292357,10.862331,9.286695,14.064510799999999,17.2603,11.8278,19.599203000000003,26.765736,13.09364,16.4598,13.0745323,13.4601722,14.381826,Nfkbib
ENSMUSG00000030598,0.515869,0.74997,0.594304,0.476715,0.6913959999999999,0.530904,0.388454,0.300557,0.985584,0.3480878,0.605575,0.8751975999999999,0.7369410000000001,0.934212,0.587207,0.5009709999999999,0.54283,Fbxo17
ENSMUSG00000030600,0.0685379,0.114086,0.13325009999999998,0.138163,0.3111657,0.037219,0.0556855,0.0,0.0895217,0.0339066,0.0704645,0.14315819999999999,0.0418258,0.0,0.105662,0.0665244,0.0576974,Lrfn1
ENSMUSG00000030602,6.6371400000000005,7.3646080000000005,4.974747000000001,5.846868,7.314583000000001,3.764573,3.03166,3.0555660000000002,5.454636,3.9637360000000004,9.59093,20.477617,4.030952,7.5491269999999995,3.074127,3.724539,5.106821000000001,Pak4
ENSMUSG00000030603,76.505686,79.34501,65.652654,90.7233,75.6638536,50.090926999999994,63.9239,62.758219999999994,63.12242,47.46899,82.48143699999999,113.59796,55.66933220000001,71.1542845,65.3262,67.0412232,62.9270283,Psmc4
ENSMUSG00000030604,0.582924,0.518622,1.17618,0.286961,0.615416,0.378486,0.284546,0.546975,0.740964,0.461062,0.43219,1.03504,0.170378,0.458998,0.360544,0.243362,0.401851,Zfp626
ENSMUSG00000030605,4.643381,11.34965,3.990957,10.8963,7.081625,2.34794,1.09133,1.21861,3.07749,1.261058,10.07316,20.97645,15.95785,0.518736,0.76329,1.0242,1.45028,Mfge8
